Model Name,Colour,Price
SanDisk Ultra Dual SDDD3-128G-G46/SDDD3-128G-i35 128 GB...,"Black, Type A to Micro USB","₹1,479"
HP X740W Metal USB 3.0/3.1 Flash Drive 32 GB Pen Drive,Silver,₹508
SanDisk SDDD3-064G-I35GW 64 GB OTG Drive,"Gold, Type A to Micro USB",₹859
SanDisk Cruzer Blade USB Flash Drive 2.0 32 GB Pen Driv...,"Black, Red",₹440
SanDisk Ultra flair 3.0 USB Flash Drive speed up to 150...,Black,₹968
SanDisk Cruzer Blade USB Flash Drive (BLACK & RED) - 3p...,Black,₹994
HP V152W 16 GB Pen Drive,Blue,₹374
SanDisk Ultra USB3.0 32 GB Pen Drive,Black,₹693
Kingston USB 3.0 Data Traveler 50- 32 GB Pen Drive,Grey,₹459
SanDisk SDCZ73 64 GB Pen Drive,Silver,₹976
SanDisk SDCZ73-128G-I35 128 Pen Drive,"Silver, Black","₹1,589"
Sandisk Cruzer Blade 32 GB,"Black, Red",₹419
SanDisk Cruzer Blade 32 GB Pen Drive set of 2 (Red) 32 ...,Red,₹795
SanDisk SDCZ73-256G-I35 256 Pen Drive,"Silver, Black","₹3,019"
"Kingston DTIG4 USB 3.0, 32 GB Pen Drive",White & Red,₹509
Kingston DTSWIVL/32GBIN 32 GB Pen Drive,Black,₹467
SanDisk CRUZE BLADE 64 GB Pen Drive,Black,₹615
SanDisk Cruzr Blade 64 GB Pen Drive (Red) 64 GB Pen Dri...,"Black, Red","₹1,999"
SanDisk Cruzr Blade 64 GB Pen Drive (Red) 64 GB Pen Dri...,"Black, Red","₹5,999"
Toshiba USB 2.0 U-202 32 GB Pen Drive,White,₹463
SanDisk SDCZ73-128G-I35 128 Pen Drive,"Silver, Black","₹1,589"
Sandisk Cruzer Blade 32 GB,"Black, Red",₹419
SanDisk Cruzer Blade 32 GB Pen Drive set of 2 (Red) 32 ...,Red,₹795
SanDisk SDCZ73-256G-I35 256 Pen Drive,"Silver, Black","₹3,019"
"Kingston DTIG4 USB 3.0, 32 GB Pen Drive",White & Red,₹509
Kingston DTSWIVL/32GBIN 32 GB Pen Drive,Black,₹467
SanDisk CRUZE BLADE 64 GB Pen Drive,Black,₹615
SanDisk Cruzr Blade 64 GB Pen Drive (Red) 64 GB Pen Dri...,"Black, Red","₹1,999"
SanDisk Cruzr Blade 64 GB Pen Drive (Red) 64 GB Pen Dri...,"Black, Red","₹5,999"
Toshiba USB 2.0 U-202 32 GB Pen Drive,White,₹463
SanDisk SDCZ73-128G-I35 128 Pen Drive,"Silver, Black","₹1,589"
Sandisk Cruzer Blade 32 GB,"Black, Red",₹419
SanDisk Cruzer Blade 32 GB Pen Drive set of 2 (Red) 32 ...,Red,₹795
SanDisk SDCZ73-256G-I35 256 Pen Drive,"Silver, Black","₹3,019"
"Kingston DTIG4 USB 3.0, 32 GB Pen Drive",White & Red,₹509
Kingston DTSWIVL/32GBIN 32 GB Pen Drive,Black,₹467
SanDisk CRUZE BLADE 64 GB Pen Drive,Black,₹615
SanDisk Cruzr Blade 64 GB Pen Drive (Red) 64 GB Pen Dri...,"Black, Red","₹1,999"
SanDisk Cruzr Blade 64 GB Pen Drive (Red) 64 GB Pen Dri...,"Black, Red","₹5,999"
Toshiba USB 2.0 U-202 32 GB Pen Drive,White,₹463
